BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP,COMMENTS,STATUT,Statuts
CT30_03,241861.9482,1379301.628,65,90,115,60,,Undrilled,Undrilled
CT30_07,241846.3751,1379295.161,60,90,115,60,,Undrilled,Undrilled
CT30_13,241857.8142,1379289.756,60,90,115,60,,Undrilled,Undrilled
CT30_26,241859.0036,1379289.194,80,90,115,60,,Undrilled,Undrilled
CT30_37,241979.6926,1379232.171,90,107,115,60,,Undrilled,Undrilled
CT30_51,241845.3228,1379295.658,40,96,115,60,,Undrilled,Undrilled
CT30_52,241844.4479,1379296.071,20,83,115,60,,Undrilled,Undrilled
CT30_53,241833.4153,1379301.284,20,93,115,60,,Undrilled,Undrilled
CT30_54,241914.0164,1379263.201,39,72,115,60,,Undrilled,Undrilled
CT30_55,241917.5497,1379261.532,54,77,115,60,,Undrilled,Undrilled
CT30_56,242008.8437,1379218.398,70,60,115,60,,Undrilled,Undrilled
CT30_57,241967.4348,1379237.962,46,106,115,60,,Undrilled,Undrilled
CT30_58,241952.9476,1379244.807,30,112,115,60,,Undrilled,Undrilled
CT31_01,241841.4167,1379283.678,25,90,115,60,,Undrilled,Undrilled
CT31_02,241852.3626,1379278.507,25,82,115,60,,Undrilled,Undrilled
CT31_03,241853.4831,1379277.977,45,90,115,60,,Undrilled,Undrilled
CT31_04,241864.6764,1379272.689,45,84,115,60,,Undrilled,Undrilled
CT31_05,241862.625,1379273.658,70,90,115,60,,Undrilled,Undrilled
CT31_06,241878.8414,1379265.996,60,83,115,60,,Undrilled,Undrilled
CT31_30,241923.544,1379244.875,40,84,115,60,,Undrilled,Undrilled
CT31_31,241940.791,1379236.726,50,81,115,60,,Undrilled,Undrilled
CT31_32,241991.9747,1379212.543,80,103,115,60,,Undrilled,Undrilled
CT31_33,241969.2525,1379223.279,41,90,115,60,,Undrilled,Undrilled
CT31_34,241979.9015,1379218.247,60,90,115,60,,Undrilled,Undrilled
CT31_35,241906.1913,1379253.074,30,97,115,60,,Undrilled,Undrilled
CT32_01,241840.7004,1379270.192,16,90,115,60,,Undrilled,Undrilled
CT32_02,241851.701,1379264.994,15,80,115,60,,Undrilled,Undrilled
CT32_06,241850.2481,1379265.681,40,90,115,60,,Undrilled,Undrilled
CT32_08,241860.8336,1379260.679,40,90,115,60,,Undrilled,Undrilled
CT32_10,241856.9221,1379262.527,70,90,115,60,,Undrilled,Undrilled
CT32_34,241895.3718,1379244.361,-5,86,115,60,,Undrilled,Undrilled
CT32_35,241920.1971,1379232.631,36,90,115,60,,Undrilled,Undrilled
CT32_37,241940.4125,1379223.08,60,90,115,60,,Undrilled,Undrilled
CT32_38,242001.9195,1379194.019,55,100,115,60,,Undrilled,Undrilled
CT32_39,242059.2867,1379166.914,104,32,115,60,,Undrilled,Undrilled
CT32_40,242030.5306,1379180.501,70,55,115,60,,Undrilled,Undrilled
CT33_01,241836.9159,1379258.155,15,90,115,60,,Undrilled,Undrilled
CT33_02,241849.874,1379252.032,45,96,115,60,,Undrilled,Undrilled
CT33_03,241858.6812,1379247.871,59,90,115,60,,Undrilled,Undrilled
CT33_04,241869.742,1379242.645,60,90,115,60,,Undrilled,Undrilled
CT33_05,241870.3965,1379242.336,79,90,115,60,,Undrilled,Undrilled
CT33_06,241896.8085,1379229.857,55,90,115,60,,Undrilled,Undrilled
CT33_21,241958.1365,1379200.881,41,52,115,60,,Undrilled,Undrilled
CT33_22,241973.6244,1379193.563,50,52,115,60,,Undrilled,Undrilled
CT33_23,241991.1626,1379185.277,80,57,115,60,,Undrilled,Undrilled
CT33_24,242043.5118,1379160.543,57,53,115,60,,Undrilled,Undrilled
CT33_25,242025.2358,1379169.178,40,68,115,60,,Undrilled,Undrilled
CT34_01,241841.3494,1379242.235,15,90,115,60,,Undrilled,Undrilled
CT34_02,241853.3724,1379236.555,15,90,115,60,,Undrilled,Undrilled
CT34_03,241851.8705,1379237.264,40,90,115,60,,Undrilled,Undrilled
CT34_04,241862.6275,1379232.182,40,90,115,60,,Undrilled,Undrilled
